K,representation,ARI,NMI,Silhouette
2,Morgan FP,0.002866190313357685,0.02297789472312606,0.08665813950912526
3,Morgan FP,0.007308015426363724,0.043431621683331714,0.07779252299290426
4,Morgan FP,0.0073187165270083305,0.04755944489761299,0.06810275223905732
5,Morgan FP,0.23022030582293837,0.3571212982028919,0.11313301175112271
6,Morgan FP,0.23327943156142075,0.3702219354101143,0.10749392392918938
7,Morgan FP,0.23324962666534602,0.3714123226304967,0.10338810261195103
8,Morgan FP,0.2535115053150861,0.3890460036558008,0.10725080570831426
9,Morgan FP,0.2605982708919937,0.4063391306928479,0.09745480112796691
10,Morgan FP,0.26064589428698626,0.4083722255094727,0.09604603388455835
11,Morgan FP,0.2606562403167592,0.40965537460599416,0.09100931530427599
12,Morgan FP,0.2606932929953714,0.4115424077842111,0.09034107031043274
13,Morgan FP,0.26892492218293634,0.4271918998548072,0.08782240563645483
14,Morgan FP,0.371773516694334,0.4667809369202911,0.10221865403776757
15,Morgan FP,0.38679397659027726,0.4775292667607772,0.10209889556743179
16,Morgan FP,0.38683561385045206,0.47891746508789573,0.10107449594509213
17,Morgan FP,0.4822730198895006,0.5514888416332515,0.1211994630802618
18,Morgan FP,0.482280123249719,0.5521255161464425,0.12000333156353094
19,Morgan FP,0.5099396081047342,0.5839546347880928,0.13110089830172
20,Morgan FP,0.5108776946505785,0.5844826049691704,0.1270224477871255
21,Morgan FP,0.5108593173500158,0.58495379939421,0.12759875281787925
22,Morgan FP,0.5105142081081314,0.5844607822397535,0.12414203818238159
23,Morgan FP,0.5105294464901324,0.5852479462414765,0.12284175836401288
24,Morgan FP,0.5111772333275167,0.5898355902278604,0.12138562955147376
25,Morgan FP,0.517478851058962,0.6015291762649903,0.12210103435403069
2,MACCS Keys,0.00217853031380323,0.01475652508626414,0.184217302163898
3,MACCS Keys,0.002188223763170274,0.019293840355723093,0.1446399974394642
4,MACCS Keys,0.004981915102227429,0.03253548109118427,0.09808753382990677
5,MACCS Keys,0.20436095819338357,0.32593771690382173,0.1924485957264699
6,MACCS Keys,0.20492030743241846,0.327508799208101,0.18191157726641605
7,MACCS Keys,0.29042702591579744,0.40376268000024845,0.21207440493234758
8,MACCS Keys,0.29041058801895286,0.40349133614008115,0.20737461927479744
9,MACCS Keys,0.29043364742503436,0.40503013671443133,0.20285165444549788
10,MACCS Keys,0.2907856063147297,0.40583848593798805,0.19840823217129533
11,MACCS Keys,0.3669762941037648,0.47144883592317277,0.23264986692223114
12,MACCS Keys,0.3773309590448857,0.471966936536268,0.2411326459630266
13,MACCS Keys,0.3932651256296998,0.4896227640351711,0.25503693829874524
14,MACCS Keys,0.39630793482987814,0.49435835172646736,0.2583741796714316
15,MACCS Keys,0.3963042472783622,0.4946512880724715,0.2567108050568541
16,MACCS Keys,0.3985658033976892,0.5017572015152583,0.25693654514219705
17,MACCS Keys,0.39870447524328656,0.5042507619115474,0.2561300714507843
18,MACCS Keys,0.42592109363105385,0.5261122237122093,0.2700351429475126
19,MACCS Keys,0.4387434508731487,0.526227886828327,0.270683511509385
20,MACCS Keys,0.43928960400706873,0.526636980971921,0.2706106781798732
21,MACCS Keys,0.44135989251837077,0.5301232944436862,0.2712550260335508
22,MACCS Keys,0.4413959855463846,0.5314744657924518,0.26793854760538244
23,MACCS Keys,0.440742519208584,0.5304489970087795,0.2641926242412036
24,MACCS Keys,0.4444863252255274,0.5409772917966973,0.269067831281165
25,MACCS Keys,0.4429441107282522,0.5387022904005806,0.2693041878238101
2,RDKit Descriptors,0.00030570509108815257,0.0022666674059363292,0.7423932324499899
3,RDKit Descriptors,0.00016620832858997225,0.005326478786476356,0.6820398643779028
4,RDKit Descriptors,-0.0012305625673458228,0.008698991459379172,0.6662551945935995
5,RDKit Descriptors,-0.0009230757849896542,0.01090639764641698,0.6526797951439537
6,RDKit Descriptors,-0.001388903967376221,0.01200727975206663,0.6481224926314624
7,RDKit Descriptors,-0.0018527052001332711,0.013103536990540628,0.6408417696610311
8,RDKit Descriptors,-0.001926363180895397,0.014568611143475758,0.5881446579227355
9,RDKit Descriptors,-0.0022955224480793023,0.0162557869073988,0.5715998092223334
10,RDKit Descriptors,-0.0036653370724256795,0.01948702158711676,0.5618664355496877
11,RDKit Descriptors,-0.0036477525789732038,0.02149379245415339,0.5333614054451435
12,RDKit Descriptors,-0.0036472159149451952,0.022558984534640333,0.522377448033266
13,RDKit Descriptors,-0.0037208067048264113,0.023965377591782033,0.48684750515762243
14,RDKit Descriptors,-0.0031702984314506155,0.028085942901908367,0.44709526710061653
15,RDKit Descriptors,-0.003177444876777201,0.028065358210289267,0.44536778367613405
16,RDKit Descriptors,-0.014998385144516273,0.07578363259960265,0.411440322801372
17,RDKit Descriptors,-0.015291479616334687,0.0779721667201597,0.40038720180402887
18,RDKit Descriptors,-0.011368685925178547,0.09444018424606941,0.40473130866857265
19,RDKit Descriptors,-0.013243451052263686,0.0935424834155887,0.40195042364790723
20,RDKit Descriptors,-0.013362857591411948,0.09354767723968947,0.4005609121316887
21,RDKit Descriptors,-0.012364779935006925,0.09751362617021975,0.391824984703509
22,RDKit Descriptors,-0.012604352595010672,0.09946208159827223,0.3742220050350995
23,RDKit Descriptors,-0.011989759887119193,0.10265277506159523,0.37470233278785203
24,RDKit Descriptors,-0.010746982965392997,0.10811327762873217,0.3691640893244635
25,RDKit Descriptors,-0.010942614498532474,0.10845102863867237,0.3681825700825155
2,Mordred Descriptors,0.00024193357171146027,0.002091148749664316,0.5939126550576433
3,Mordred Descriptors,-0.0002264760932855819,0.00323497724294273,0.5340917665642494
4,Mordred Descriptors,-0.00029706414092580384,0.004762401115911132,0.5016035684064175
5,Mordred Descriptors,8.027831821973367e-06,0.006989627127665125,0.4908422624703688
6,Mordred Descriptors,0.000578274149655892,0.013378573866220033,0.47230404410737603
7,Mordred Descriptors,0.0008886672698581327,0.015574685439206756,0.45585601581203217
8,Mordred Descriptors,0.0012035314309263943,0.017768354959267076,0.4431891922703865
9,Mordred Descriptors,0.00192694186699708,0.021388484908450682,0.4408868907665224
10,Mordred Descriptors,0.0017822122597284818,0.024251263890459517,0.42552355657661534
11,Mordred Descriptors,0.0017130178480232853,0.02566961984730545,0.3973561483656369
12,Mordred Descriptors,0.0018136681679124722,0.02731810546515605,0.3886801701049124
13,Mordred Descriptors,-0.008470332817658724,0.055050779392074894,0.3680993025923872
14,Mordred Descriptors,-0.00839490323594177,0.05650629780839108,0.35831136158826077
15,Mordred Descriptors,-0.00808011788499216,0.05843693448252202,0.35609314275451237
16,Mordred Descriptors,-0.008184961529854073,0.0596457387362325,0.3485385155177503
17,Mordred Descriptors,-0.008106075651798841,0.061079376985510185,0.34029424923509494
18,Mordred Descriptors,-0.007648236127947563,0.06447080762056505,0.3311568289408459
19,Mordred Descriptors,-0.008214630618731511,0.06647401994277748,0.3254997440113023
20,Mordred Descriptors,-0.00828589464622497,0.06637840190988768,0.3236605288575275
21,Mordred Descriptors,-0.008285336269306432,0.06734907475759398,0.3219588381809566
