Representation,Classifier,Accuracy,F1 (macro),F1 (weighted)
Morgan FP,RandomForest,0.9173630454967502,0.6628051758187903,0.9138425068943374
Morgan FP,LogisticReg,0.9238625812441968,0.686119064222262,0.9205787417233442
Morgan FP,KNN,0.8560817084493965,0.590086329840544,0.8563864276926512
MACCS Keys,RandomForest,0.8709377901578459,0.6368970296722449,0.8661549714441168
MACCS Keys,LogisticReg,0.8885793871866295,0.6729915301364356,0.8833832986496606
MACCS Keys,KNN,0.7966573816155988,0.4919974809037383,0.7831529516107485
RDKit + MACCS,RandomForest,0.8997214484679665,0.6619137557677707,0.8957146795936581
RDKit + MACCS,LogisticReg,0.9127205199628597,0.7080406019366968,0.9109166537543445
RDKit + MACCS,KNN,0.7678737233054782,0.5368662487008935,0.7589709424050751
Transformer,RandomForest,0.8235840297121634,0.4773873927526939,0.8082826604076178
Transformer,LogisticReg,0.9080779944289693,0.6743861103026573,0.9050157763432098
Transformer,KNN,0.8180129990714949,0.558319524832702,0.8085854238863524
